Temps;Canal o
(ms);(V)

-43,17006000;6,69537400
-43,15755600;6,34288900
-43,14505200;6,34288900
-43,13254800;6,16695400
-43,12004400;5,99040400
-43,10754000;5,99040400
-43,09503600;5,99040400
-43,08253200;5,81446800
-43,07002800;5,63853400
-43,05752400;5,46198300
-43,04502000;5,28604800
-43,03251600;5,28604800
-43,02001200;5,10949800
-43,00750800;5,10949800
-42,99500400;4,93356300
-42,98250000;4,93356300
-42,96999601;4,93356300
-42,95749201;4,75701300
-42,94498801;4,58107800
-42,93248401;4,58107800
-42,91998001;4,58107800
-42,90747601;4,22859200
-42,89497201;4,22859200
-42,88246801;4,22859200
-42,86996401;4,22859200
-42,85746001;4,22859200
-42,84495601;4,22859200
-42,83245201;4,22859200
-42,81994801;4,22859200
-42,80744401;4,40452800
-42,79494001;4,58107800
-42,78243601;5,46198300
-42,76993201;5,46198300
-42,75742801;1,05684100
-42,74492401;1,05684100
-42,73242001;0,88090550
-42,71991601;0,88090550
-42,70741201;0,88090550
-42,69490801;0,88090550
-42,68240401;0,70435530
-42,66990001;0,70435530
-42,65739601;0,70435530
-42,64489201;0,70435530
-42,63238801;0,52842030
-42,61988402;0,52842030
-42,60738002;0,52842030
-42,59487602;0,52842030
-42,58237202;0,35187010
-42,56986802;0,35187010
-42,55736402;0,35187010
-42,54486002;0,35187010
-42,53235602;0,35187010
-42,51985202;0,17593500
-42,50734802;0,17593500
-42,49484402;0,17593500
-42,48234002;0,17593500
-42,46983602;0,17593500
-42,45733202;0,17593500
-42,44482802;0,17593500
-42,43232402;0,17593500
-42,41982002;0,00000000
-42,40731602;0,00000000
-42,39481202;0,00000000
-42,38230802;0,00000000
-42,36980402;0,00000000
-42,35730002;0,00000000
-42,34479602;-0,17593500
-42,33229202;-0,17593500
-42,31978802;-0,17593500
-42,30728402;-0,17593500
-42,29478002;-0,17593500
-42,28227602;-0,17593500
-42,26977203;-0,17593500
-42,25726803;-0,17593500
-42,24476403;-0,35187010
-42,23226003;-0,35187010
-42,21975603;-0,35187010
-42,20725203;-0,35187010
-42,19474803;-0,35187010
-42,18224403;-0,35187010
-42,16974003;-0,52842030
-42,15723603;-0,52842030
-42,14473203;-0,52842030
-42,13222803;-0,52842030
-42,11972403;-0,52842030
-42,10722003;-0,52842030
-42,09471603;-0,70435530
-42,08221203;-0,70435530
-42,06970803;-0,70435530
-42,05720403;-0,70435530
-42,04470003;-0,70435530
-42,03219603;-0,70435530
-42,01969203;-0,70435530
-42,00718803;-0,70435530
-41,99468403;-0,88090550
-41,98218003;-0,88090550
-41,96967603;-0,88090550
-41,95717203;-0,88090550
-41,94466803;-0,88090550
-41,93216404;-0,88090550
-41,91966004;-0,88090550
-41,90715604;-1,05684100
-41,89465204;-1,05684100
-41,88214804;-1,05684100
-41,86964404;-1,05684100
-41,85714004;-1,05684100
-41,84463604;-1,05684100
-41,83213204;-1,05684100
-41,81962804;-1,23339100
-41,80712404;-1,23339100
-41,79462004;-1,23339100
-41,78211604;-1,23339100
-41,76961204;-1,40932600
-41,75710804;-1,58526100
-41,74460404;-1,58526100
