Temps;Canal A
(ms);(V)

-43,17006000;0,99292570
-43,15755600;0,99292570
-43,14505200;0,99292570
-43,13254800;0,99292570
-43,12004400;0,97514760
-43,10754000;0,95743110
-43,09503600;0,93971460
-43,08253200;0,92199800
-43,07002800;0,92199800
-43,05752400;0,90422000
-43,04502000;0,88650350
-43,03251600;0,86878690
-43,02001200;0,85107030
-43,00750800;0,83335380
-42,99500400;0,81557580
-42,98250000;0,79785930
-42,96999601;0,79785930
-42,95749201;0,78014270
-42,94498801;0,76242620
-42,93248401;0,74464810
-42,91998001;0,74464810
-42,90747601;0,72693160
-42,89497201;0,70921500
-42,88246801;0,69149850
-42,86996401;0,69149850
-42,85746001;0,67372050
-42,84495601;0,67372050
-42,83245201;0,65600400
-42,81994801;0,65600400
-42,80744401;0,65600400
-42,79494001;0,63828740
-42,78243601;0,63828740
-42,76993201;0,65600400
-42,75742801;0,65600400
-42,74492401;0,62057080
-42,73242001;0,56735970
-42,71991601;0,47871550
-42,70741201;0,42550440
-42,69490801;0,37229330
-42,68240401;0,33686020
-42,66990001;0,28364910
-42,65739601;0,24821600
-42,64489201;0,21272150
-42,63238801;0,19500490
-42,61988402;0,17728840
-42,60738002;0,15957190
-42,59487602;0,14179380
-42,58237202;0,14179380
-42,56986802;0,12407730
-42,55736402;0,10636070
-42,54486002;0,08864419
-42,53235602;0,08864419
-42,51985202;0,08864419
-42,50734802;0,07086614
-42,49484402;0,07086614
-42,48234002;0,07086614
-42,46983602;0,05314961
-42,45733202;0,05314961
-42,44482802;0,05314961
-42,43232402;0,03543307
-42,41982002;0,03543307
-42,40731602;0,03543307
-42,39481202;0,03543307
-42,38230802;0,03543307
-42,36980402;0,03543307
-42,35730002;0,01771653
-42,34479602;0,01771653
-42,33229202;0,01771653
-42,31978802;0,00000000
-42,30728402;0,00000000
-42,29478002;0,00000000
-42,28227602;0,00000000
-42,26977203;0,00000000
-42,25726803;0,00000000
-42,24476403;-0,01771653
-42,23226003;-0,01771653
-42,21975603;-0,01771653
-42,20725203;-0,01771653
-42,19474803;-0,01771653
-42,18224403;-0,01771653
-42,16974003;-0,03543307
-42,15723603;-0,03543307
-42,14473203;-0,03543307
-42,13222803;-0,03543307
-42,11972403;-0,03543307
-42,10722003;-0,05314961
-42,09471603;-0,05314961
-42,08221203;-0,05314961
-42,06970803;-0,07086614
-42,05720403;-0,07086614
-42,04470003;-0,07086614
-42,03219603;-0,07086614
-42,01969203;-0,07086614
-42,00718803;-0,08864419
-41,99468403;-0,07086614
-41,98218003;-0,08864419
-41,96967603;-0,10636070
-41,95717203;-0,08864419
-41,94466803;-0,08864419
-41,93216404;-0,10636070
-41,91966004;-0,10636070
-41,90715604;-0,10636070
-41,89465204;-0,10636070
-41,88214804;-0,12407730
-41,86964404;-0,12407730
-41,85714004;-0,12407730
-41,84463604;-0,12407730
-41,83213204;-0,14179380
-41,81962804;-0,14179380
-41,80712404;-0,14179380
-41,79462004;-0,14179380
-41,78211604;-0,14179380
-41,76961204;-0,15957190
-41,75710804;-0,15957190
-41,74460404;-0,17728840
